,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweet Count
81,BBC,Fri Jun 22 16:01:00 +0000 2018,"When the weekend's so close you can almost touch it...  🙌 #FridayFeeling
 @Camila_Cabello https://t.co/eosSiBxZft",0.0,0.0,1.0,0.0,82
82,BBC,Fri Jun 22 13:02:03 +0000 2018,"😂🎤 Hello, it's literally me... 
#HearHer https://t.co/7XMLDQMR3B",0.0,0.0,1.0,0.0,83
83,BBC,Fri Jun 22 12:03:05 +0000 2018,Questions for a Sikh https://t.co/UhKZNiTRtC,0.0,0.0,1.0,0.0,84
84,BBC,Fri Jun 22 11:00:13 +0000 2018,"Why do only some people get blackout drunk?
👉 https://t.co/4C8KOCcSsU https://t.co/8S8axGO0F5",-0.34,0.0,0.789,0.211,85
85,BBC,Fri Jun 22 08:01:04 +0000 2018,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/SXJJG4hnMG",0.0,0.0,1.0,0.0,86
86,BBC,Fri Jun 22 07:28:05 +0000 2018,"'Always forgive your enemies; nothing annoys them so much.'

Oscar Wilde's best quotes.
👉 https://t.co/4ldEknyrSW https://t.co/vr8KdzXP89",0.6632,0.378,0.482,0.14,87
87,BBC,Fri Jun 22 07:00:04 +0000 2018,"'I wax my face every 2 weeks and haven't been able to get pregnant, but I won't let polycystic ovary syndrome defin… https://t.co/uyNbPpgeY7",0.0,0.0,1.0,0.0,88
88,BBC,Thu Jun 21 19:03:04 +0000 2018,"😂 That time @NoelFielding11 confronted some rowdy teens…
#LiveAtTheApollo https://t.co/tV9SB4r8Yz",-0.2023,0.0,0.816,0.184,89
89,BBC,Thu Jun 21 18:01:06 +0000 2018,📱 Is social media impacting how we express ourselves?  https://t.co/nADRuAW49x,0.0,0.0,1.0,0.0,90
90,BBC,Thu Jun 21 16:42:25 +0000 2018,"RT @bbcthree: What it feels like when you don't want your baby. #HearHer
(turn on your sound) https://t.co/7ErzX8p7Ag",0.3134,0.127,0.811,0.062,91
91,BBC,Thu Jun 21 16:01:04 +0000 2018,😍 The Scottish coast is incredible! https://t.co/pn2LdiZwdQ,0.0,0.0,1.0,0.0,92
92,BBC,Thu Jun 21 16:00:09 +0000 2018,"RT @BBCRadio4: Activist
Poet
Director
Actor
Writer...
...and inspiration
@Aardman Animations made a beautiful short film about Maya Angelou…",0.8074,0.313,0.687,0.0,93
93,BBC,Thu Jun 21 13:02:34 +0000 2018,"💔🦍 Koko the gorilla has sadly died, aged 46.

Here's the story of her life. https://t.co/rIRb7mHpJx",-0.7506,0.0,0.686,0.314,94
94,BBC,Thu Jun 21 12:28:30 +0000 2018,"RT @BBCOne: In 1979, one surgeon was about to make NHS history by performing the UK's first heart transplant. https://t.co/HmUZBE5MLd",0.0,0.0,1.0,0.0,95
95,BBC,Thu Jun 21 12:25:47 +0000 2018,"RT @bbcarts: Artistic Director at @royalcourt, @vicfeatherstone, has curated #Snatches - a series of provocative monologues, written and pe…",0.0,0.0,1.0,0.0,96
96,BBC,Thu Jun 21 12:01:06 +0000 2018,Tessa Sanderson was the first British woman to win an Olympic gold medal in the javelin. #HearHer https://t.co/Kqff1C4QSe,0.7845,0.301,0.699,0.0,97
97,BBC,Thu Jun 21 11:01:04 +0000 2018,"🥗 What's behind the rise in veganism?
👉 https://t.co/26dyqv3CWQ https://t.co/KZd2kBVkNW",0.0,0.0,1.0,0.0,98
98,BBC,Thu Jun 21 09:55:19 +0000 2018,"❤️👶 New Zealand's Prime Minister Jacinda Ardern has given birth to a baby girl, making her only the second elected… https://t.co/7LDkCupd1c",0.0,0.0,1.0,0.0,99
99,BBC,Thu Jun 21 09:13:56 +0000 2018,☀️ Thousands of people have witnessed the sunrise at Stonehenge to celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK,0.5719,0.209,0.791,0.0,100
